Road,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Birthday,Ex,ChristmasDay
0,3,11,0.273,0,2,0,4,4,1,0,0,1,10,3.9,0,0,0
1,1,7,0.143,0,2,0,0,1,0,0,0,2,2,-1.9,0,0,0
0,1,7,0.143,0,3,0,0,0,0,0,1,4,2,1.7,0,0,0
1,7,20,0.35,3,9,0.333,2,2,1,1,1,4,19,4.9,0,0,0
1,1,7,0.143,0,2,0,0,0,0,0,1,3,2,-4,0,0,0
0,9,16,0.563,3,6,0.5,1,1,1,2,3,5,22,13.5,0,0,0
0,3,8,0.375,2,4,0.5,0,0,0,0,2,2,8,5.8,0,0,0
0,9,21,0.429,4,10,0.4,6,7,0.857,2,0,4,28,17.6,0,0,0
0,9,20,0.45,3,7,0.429,4,4,1,0,2,4,25,17.3,0,0,0
1,6,13,0.462,3,7,0.429,2,2,1,1,1,4,17,10.1,0,0,0
0,3,21,0.143,2,11,0.182,0,1,0,1,1,3,8,-4.4,0,0,0
0,5,14,0.357,2,6,0.333,0,1,0,0,2,4,12,4.5,0,0,0
0,10,18,0.556,1,5,0.2,5,5,1,2,1,5,26,17.2,0,0,0
0,10,19,0.526,3,9,0.333,1,2,0.5,1,4,2,24,20.6,0,0,0
1,8,17,0.471,3,6,0.5,0,0,0,0,0,4,19,8,0,0,0
1,5,15,0.333,1,4,0.25,4,4,1,2,1,1,15,13.3,0,0,0
1,4,9,0.444,3,4,0.75,1,1,1,1,3,3,12,11.4,0,0,0
1,6,19,0.316,1,7,0.143,4,5,0.8,0,1,2,17,8.3,0,0,0
0,1,10,0.1,0,3,0,2,2,1,1,1,2,4,3.1,0,0,0
0,9,16,0.563,6,10,0.6,0,3,0,0,2,2,24,19.4,0,0,0
0,5,12,0.417,2,5,0.4,4,4,1,0,2,4,16,10.3,0,0,0
1,9,16,0.563,5,10,0.5,1,1,1,0,1,2,24,18.8,0,0,0
0,13,25,0.52,6,12,0.5,9,11,0.818,0,0,3,41,28.7,0,0,0
0,8,13,0.615,3,6,0.5,2,2,1,2,0,2,21,14.4,0,0,0
1,11,22,0.5,5,12,0.417,4,5,0.8,0,5,3,31,21.5,0,0,0
0,9,19,0.474,2,6,0.333,6,6,1,0,1,5,26,17.3,0,0,0
1,4,17,0.235,2,6,0.333,2,2,1,0,3,3,12,1.9,0,0,0
1,15,26,0.577,1,7,0.143,1,1,1,0,2,2,32,23.8,0,0,0
1,6,18,0.333,2,5,0.4,3,3,1,0,0,3,17,10.4,0,0,0
1,11,16,0.688,3,6,0.5,1,2,0.5,1,1,4,26,15.9,0,0,0
1,3,7,0.429,0,2,0,0,0,0,0,4,4,6,5,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
0,12,16,0.75,1,3,0.333,4,4,1,0,1,3,29,22.3,0,0,0
1,5,10,0.5,1,4,0.25,2,2,1,0,1,5,13,10.1,0,0,0
1,6,17,0.353,1,6,0.167,4,5,0.8,0,2,4,17,9.4,0,0,0
0,10,17,0.588,2,6,0.333,7,8,0.875,0,3,4,29,24.2,0,0,0
0,6,17,0.353,3,11,0.273,9,10,0.9,0,1,3,24,13.2,0,0,0
1,6,13,0.462,3,6,0.5,0,1,0,0,1,1,15,13.8,0,0,0
1,12,25,0.48,3,10,0.3,0,0,0,0,1,5,27,15,0,0,0
1,7,20,0.35,2,10,0.2,0,0,0,1,1,4,16,7.6,0,0,0
1,10,20,0.5,5,11,0.455,10,11,0.909,1,2,2,35,22.7,0,0,0
0,8,16,0.5,2,8,0.25,5,5,1,1,2,0,23,18.4,0,0,0
1,14,19,0.737,1,4,0.25,5,7,0.714,0,3,3,34,26.7,0,0,0
0,7,21,0.333,3,11,0.273,0,0,0,1,1,5,17,6.3,0,0,0
0,9,16,0.563,1,6,0.167,4,7,0.571,1,2,3,23,17.8,0,0,0
1,5,13,0.385,2,5,0.4,1,2,0.5,0,0,1,13,0.9,0,0,0
1,6,21,0.286,1,6,0.167,2,2,1,1,2,2,15,5.7,0,0,0
1,9,20,0.45,4,7,0.571,4,6,0.667,0,0,0,26,15.8,0,0,0
0,8,17,0.471,2,5,0.4,2,2,1,0,4,3,20,16.8,0,0,0
1,14,19,0.737,7,9,0.778,5,5,1,1,2,0,40,38.4,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
1,1,6,0.167,0,2,0,0,0,0,0,1,0,2,-1.7,0,0,0
1,4,12,0.333,1,3,0.333,0,0,0,2,0,3,9,1.1,0,0,0
0,8,21,0.381,3,10,0.3,6,7,0.857,1,0,2,25,16,0,0,0
1,10,24,0.417,2,5,0.4,5,5,1,5,1,2,27,16.6,0,0,0
0,9,28,0.321,3,9,0.333,4,6,0.667,0,3,4,25,14.2,0,0,0
0,10,24,0.417,4,11,0.364,0,0,0,2,0,0,24,15.1,0,0,0
0,8,20,0.4,4,10,0.4,1,1,1,1,1,1,21,10.8,0,0,0
0,8,20,0.4,4,8,0.5,5,6,0.833,0,2,2,25,18.3,0,0,0
0,6,15,0.4,1,9,0.111,3,4,0.75,1,3,3,16,5.1,0,0,0
0,10,18,0.556,2,8,0.25,4,5,0.8,0,1,3,26,16.4,0,0,0
1,7,15,0.467,3,8,0.375,10,10,1,1,0,2,27,20.9,0,0,0
0,6,16,0.375,1,7,0.143,6,8,0.75,0,1,4,19,12.8,0,0,0
1,6,15,0.4,4,10,0.4,4,5,0.8,1,1,3,20,10.8,0,0,0
1,4,15,0.267,3,8,0.375,1,1,1,0,2,5,12,4.5,0,0,0
1,10,21,0.476,3,10,0.3,4,4,1,0,1,2,27,18.2,0,0,0
0,4,10,0.4,3,8,0.375,2,4,0.5,1,2,3,13,8.8,0,0,0
0,10,21,0.476,2,7,0.286,1,4,0.25,1,1,4,23,15.2,0,0,0
0,11,21,0.524,1,8,0.125,5,6,0.833,0,2,2,28,18.2,0,0,0
0,9,28,0.321,1,10,0.1,5,5,1,2,1,2,24,10.6,0,0,0
1,11,22,0.5,1,6,0.167,3,4,0.75,1,3,1,26,20.9,0,0,0
1,14,36,0.389,4,13,0.308,3,5,0.6,0,4,2,35,16.8,0,0,0
1,8,19,0.421,4,8,0.5,1,2,0.5,1,2,2,21,15.6,0,0,0
0,7,20,0.35,3,8,0.375,5,6,0.833,0,1,3,22,10.4,0,0,0
0,7,15,0.467,2,8,0.25,6,10,0.6,0,1,3,22,13.2,0,0,0
1,10,15,0.667,1,3,0.333,0,0,0,1,2,1,21,15.2,0,0,0
0,10,21,0.476,4,8,0.5,2,4,0.5,3,1,2,26,17.1,0,0,0
0,6,15,0.4,0,3,0,7,8,0.875,2,1,3,19,14.1,0,0,0
1,9,18,0.5,3,7,0.429,7,10,0.7,0,1,1,28,23.4,0,0,0
0,8,12,0.667,4,5,0.8,2,2,1,1,2,2,22,18,0,0,0
1,6,23,0.261,1,8,0.125,4,6,0.667,1,2,2,17,7.4,0,0,0
