Birthday,Road,MP,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,STL,PF,PTS,GmSc,Ex,ChristmasDay
0,0,38.15,6,14,0.429,4,7,0.571,0,0,0,0,2,0,16,14.9,0,0
0,1,36.55,13,19,0.684,7,12,0.583,0,0,0,2,0,2,33,27.2,0,0
0,1,38.18,5,16,0.313,2,8,0.25,2,2,1,0,0,4,14,5.2,0,0
0,1,28.08,9,16,0.563,3,9,0.333,0,0,0,0,0,4,21,13.8,0,0
0,0,38.5,9,15,0.6,4,6,0.667,0,0,0,0,1,2,22,17.9,0,0
0,0,31,8,19,0.421,2,8,0.25,0,0,0,0,0,4,18,9.4,0,0
0,0,33,12,19,0.632,4,7,0.571,1,2,0.5,0,2,2,29,17.9,0,0
0,1,30,6,14,0.429,1,4,0.25,2,2,1,1,0,3,15,9.5,0,0
0,1,30.5,11,17,0.647,5,8,0.625,0,0,0,0,0,1,27,21.1,0,0
0,1,29,6,12,0.5,3,6,0.5,0,0,0,0,1,2,15,9.2,0,0
0,0,32,5,15,0.333,3,8,0.375,0,0,0,2,1,1,13,8.5,0,0
0,0,33,11,20,0.55,6,12,0.5,0,1,0,0,1,2,28,20.8,0,0
0,0,29.5,9,17,0.529,4,6,0.667,1,1,1,1,1,1,23,16.4,0,0
0,0,31,5,11,0.455,3,5,0.6,2,2,1,1,0,1,15,12,0,0
0,1,34,5,18,0.278,3,11,0.273,0,0,0,1,0,5,13,4.7,0,0
0,1,36,7,16,0.438,1,3,0.333,2,2,1,0,0,2,17,8.7,0,0
0,1,33,10,17,0.588,1,1,1,2,2,1,1,2,1,23,19.5,0,0
0,1,28,3,12,0.25,3,8,0.375,0,0,0,1,0,2,9,3.7,0,0
0,0,26,12,17,0.706,5,9,0.556,0,0,0,0,1,0,29,21.5,0,0
0,0,36,9,19,0.474,4,8,0.5,2,2,1,0,2,0,24,20.3,0,0
0,0,32.5,7,20,0.35,5,12,0.417,2,2,1,1,1,4,21,12.2,0,0
0,1,38.5,6,12,0.5,4,8,0.5,4,4,1,0,1,1,20,16.9,0,0
0,1,35,11,14,0.786,3,4,0.75,2,2,1,0,0,1,27,25.6,0,0
0,1,31,8,15,0.533,2,7,0.286,1,2,0.5,1,0,1,19,14.6,0,0
0,1,37,8,13,0.615,4,5,0.8,2,3,0.667,0,1,0,22,18.3,0,0
0,1,36,9,14,0.643,4,7,0.571,0,0,0,0,0,0,22,16.1,0,0
0,1,35.5,8,18,0.444,2,9,0.222,3,3,1,0,1,2,21,13.5,0,0
0,0,37,9,21,0.429,4,10,0.4,2,2,1,1,1,3,24,12.1,0,0
0,0,36.5,10,18,0.556,5,5,1,0,0,0,0,0,1,25,13.5,0,0
0,1,42,6,24,0.25,4,13,0.308,1,2,0.5,2,0,3,17,4.2,0,0
0,0,37,10,16,0.625,3,4,0.75,6,6,1,0,2,0,29,24.9,0,0
0,0,34,7,18,0.389,2,9,0.222,0,0,0,0,1,1,16,7.2,0,0
0,0,34,6,21,0.286,1,10,0.1,2,2,1,1,3,0,15,7.4,0,0
0,0,35.5,8,15,0.533,4,7,0.571,4,4,1,0,0,1,24,19.5,0,1
0,0,30,5,12,0.417,3,5,0.6,2,2,1,0,0,1,15,7.6,0,0
0,0,36,10,20,0.5,3,7,0.429,1,2,0.5,0,0,3,24,12.7,0,0
0,0,34.5,8,19,0.421,5,11,0.455,0,0,0,0,0,1,21,11,0,0
0,1,36.5,11,19,0.579,3,6,0.5,0,0,0,1,2,1,25,22.1,0,0
0,1,37.5,11,20,0.55,6,9,0.667,0,0,0,0,0,2,28,20.3,0,0
0,1,25.5,4,16,0.25,2,8,0.25,0,0,0,3,1,2,10,3.8,0,0
1,0,35.5,8,17,0.471,3,6,0.5,0,0,0,1,0,0,19,14.3,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,35.5,4,10,0.4,0,2,0,4,4,1,0,0,3,12,5.3,0,0
0,1,38.5,11,16,0.688,2,5,0.4,2,2,1,0,1,2,26,21.3,0,0
0,1,34.5,7,12,0.583,3,6,0.5,0,0,0,0,1,2,17,12.9,0,0
0,1,37,12,22,0.545,7,13,0.538,7,9,0.778,0,0,0,38,26.9,0,0
0,1,36.5,3,11,0.273,2,5,0.4,0,0,0,0,2,3,8,2.3,0,0
0,0,34,4,10,0.4,0,3,0,1,2,0.5,0,0,2,9,5.8,0,0
0,0,35.5,9,13,0.692,7,9,0.778,0,0,0,0,1,1,25,21.4,0,0
0,0,36.5,3,12,0.25,0,4,0,1,1,1,0,1,1,7,4.1,0,0
0,1,30.5,12,17,0.706,3,5,0.6,0,0,0,1,2,3,27,22,0,0
0,1,35,8,12,0.667,4,8,0.5,0,1,0,0,0,2,20,16.5,0,0
0,1,36.5,7,15,0.467,2,7,0.286,0,0,0,0,2,0,16,14.1,0,0
0,0,31,5,13,0.385,2,6,0.333,0,0,0,0,1,3,12,4.3,0,0
0,0,34,8,15,0.533,2,6,0.333,0,0,0,1,0,1,18,12,0,0
0,0,34,10,14,0.714,5,6,0.833,0,0,0,0,0,1,25,16.7,0,0
0,0,22.5,7,12,0.583,2,4,0.5,0,0,0,0,0,1,16,9.4,0,0
0,1,38,6,15,0.4,3,7,0.429,2,2,1,1,0,2,17,10.1,0,0
0,0,36,8,16,0.5,2,5,0.4,1,2,0.5,0,0,4,19,9,0,0
0,0,30.5,5,16,0.313,1,11,0.091,0,2,0,1,1,0,11,5,0,0
0,1,33.5,9,13,0.692,4,6,0.667,4,4,1,0,1,1,26,24.8,0,0
0,1,36.5,5,11,0.455,3,6,0.5,0,0,0,1,2,0,13,10.6,0,0
0,1,36,6,9,0.667,2,4,0.5,1,2,0.5,0,1,5,15,11.7,0,0
0,0,38,8,15,0.533,2,5,0.4,0,0,0,0,1,1,18,14.3,0,0
0,0,36.5,5,16,0.313,1,5,0.2,2,2,1,0,0,0,13,8.6,0,0
0,1,36,9,19,0.474,4,7,0.571,3,4,0.75,0,1,3,25,14.4,0,0
0,1,40,8,22,0.364,3,12,0.25,2,2,1,0,0,0,21,9.5,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
0,1,32,10,19,0.526,3,7,0.429,2,3,0.667,1,1,3,25,12.8,0,0
0,0,33,10,19,0.526,2,5,0.4,1,1,1,0,2,0,23,16.7,0,0
0,1,35,9,19,0.474,2,8,0.25,0,0,0,0,3,3,20,11.4,0,0
0,1,30,6,16,0.375,4,9,0.444,0,0,0,3,1,0,16,11.2,0,0
0,0,37,7,14,0.5,3,5,0.6,1,1,1,1,0,1,18,12.9,0,0
0,1,34.5,14,23,0.609,6,13,0.462,0,0,0,0,1,0,34,24.1,0,0
0,1,35,9,27,0.333,3,8,0.375,2,2,1,0,1,2,23,6.9,0,0
